Log Temuan,Kategori
Tampilan belum sesuai dengan mockup,Kosmetik
saat melakukan export pdf hasil data  dari export pdf terduplicate,Minor
Kalimat pada judul kolom belum sesuai mockup,Minor
Form LBBPKSDJS kolom 5 saat D01 di kosongin tidak muncul log erornya,Minor
terdapat label data yang belum sesuai dengan acuan (harus 3 sd 5 dan 5 sd 10)<br><br>,Mayor
sudah 20 menit belum menerima email,Mayor
"ketika menjalankan skenario ""Upload Koreksi Pengawas Pada Periode Koreksi  <br>(nomor surat yang tidak ada di Daftar Surat)"" hasilnya berhasil. seharusnya gagal",Mayor
seluruh kolom pada header lolos validasi (tidak sesuai dengan struktur data),Mayor
Pada saat export excel berhasil ke download tetapi di audit log cetak laporan tidak muncul audit log nya,Mayor
label seharusnya Kategori Root Cause,Kosmetik
tabel pada output EXCEL belum sama dengan aplikasi,Mayor
Tabel pada output EXCEL belum sesuai dengan aplikasi,Mayor
1. belum ada line pembatas antara header dan isi<br><br>2. terdapat halaman kosong pada hasil download pdf,Mayor
Format angka pada output EXCEL belum sesuai dengan aplikasi,Kosmetik
- Tidak sesuai dengan mockup (ada tombol cek personil)<br><br>- Setelah cek personil ternyata ada typo,Kosmetik
Pada saat berhasil download tidak muncul di audit log cetak laporan,Minor
Pada saat berhasil download tidak muncul di audit log cetak laporan,Minor
Pada saat berhasil download tidak muncul di audit log cetak laporan,Minor
hasil export belum sesuai web,Minor
"terdapat Skenario T.3.1 hasil yang diharapkan berhasil mencatat log akses, log akses RDKB_PVML_13 belum mencatat log akses",Minor
Pada saat berhasil download tidak muncul di audit log cetak laporan,Minor
Ketika klik <em><strong>Selengkapnya </strong>-&gt; </em>Akses ditolak / error,Mayor
Belum tercatat Lihat Detil Data pada Menu Administrasi &gt; Jenis LJK,Mayor
"Administrasi &gt; Manajemen In Depth, belum tercatat ketika aksi :<br>1. Lihat Detail Data<br>2. Nonaktif data<br>3. Aktifkan data",Mayor
1. terdapat data redundan<br><br>2. level reviewer tidak sesuai,Mayor
"1. Saat tambah Riwayat KK alert berhasil tapi data tidak nambah (SS01)<br>2. Saat upload gambar Struktur Konglomerasi Keuangan preview tidak tampil dan tidak tersimpan(SS02)<br>3. Button Get SIPENA Nomor Naskah Dinas tidak ada action (SS03)<br>4. Input Badan Usaha LJK belum sesuai, seharusnya dropdown pada nama badan usaha (SS04)<br>5. File Naskah dinas seharusnya tidak bisa di upload dari DAPOK (SS05)",Mayor
"Administrasi &gt; Inisiasi Tanggal RPT, belum mencatat ketika aksi :<br>1. Lihat Detail Data<br>2. Sesuaikan Judul Initial menjadi Inisiasi seperti pada web",Mayor
"Ruang lingkup Pengawasan, tidak mencatat ketika aksi : <br>1. Tambah data tercatat berhasil membuat cakupan risiko<br>Detail<br>2. Update data tercatat berhasil update Cakupan Risiko",Mayor
"saat memfilter  periode bulan desember 2024  hasil yang tampil bulan juli-september 2024, pada acuan periode  yang ditampilkan  13 bulan data dari periode yang dipilih<br><br>",Mayor
"Pada form input ""pilih sektor"" dan ""pilih kbli"" tidak di pilih lalu klik simpan muncul pop up error",Fatal
"Administrasi &gt; Usulan Cakupan Risiko, belum tercatat aksi Lihat Detail Data",Mayor
"Administrasi &gt; Mapping LJK ke KK, belum tercatat aksi Lihat Detail Data",Mayor
"Administrasi &gt; Template Email, belum tercatat aksi Lihat Detail Data",Mayor
"Administrasi &gt; Notifikasi Template, belum tercatat aksi Lihat Detail Data",Mayor
Pada diseluruh data kelembagaan saat berhasil download tidak muncul di audit log cetak laporan,Minor
belum ada alert jika mandatory tidak diisi,Mayor
Kondisi: sudah setting akun agar dapat login pada OSW<br><br><strong>saat ini:<br></strong>belum dapat login menggunakan akun tersebut<br><br>,Mayor
1. Nama Pengurus tidak bisa diisi<br>2. typo,Mayor
1. Nama Pengurus tidak bisa diisi<br>2. typo,Mayor
"Penamaan label tidak konsisten, pada dropdown <strong>Verifikasi Materi </strong>menggunakan ""All RPT"", pada dropdown selain <strong>Verifikasi Materi </strong>ï»¿menggunakan ""Semua RPT""",Kosmetik
"Tidak ada notifikasi untuk tambah, edit dan delete (oncheck)<br><br>1. Kepemilikan<br>2. Pengurusan<br>3. Organisasi<br><br><br><br>",Mayor
belum dapat logn menggunakan user yang telah diberikan<br><br>http://10.224.61.136/APPKDev/Website/Home/Login?ReturnUrl=%2FAPPKDev<br>,Mayor
Tampilan pada web belum sesuai dengan mockup data,Minor
"1. pada pilihan dalam negri - propinsi terdapat pilihan ""Null dan others"" (SS1)<br><br>2. Pada pilihan luar negeri button export nya bertumpuk (SS2)",Mayor
Tampilan pada web belum sesuai dengan mockup data,Mayor
Hasil Export PDf terdapat page kosong,Mayor
Hasil Export PDf terdapat page kosong,Mayor
terdapat tabel yang  yang belum sesuai dengan tabel acuan <br><br>SS terlampir,Minor
"Hasil Export PDf terdapat page kosong pada halaman 2,4,6,8,10,12,14,16,18,20,22,24,26",Mayor
"Pada Kolom tabel  ""Asuransi Jiwa Syariah"" data tidak muncul pada bulan Desember 2024",Mayor
Tampilan belum sesuai dengan mockup data,Minor
Bisa menyimpan data yang isiannya kosong semua (mohon disable tombol simpannya),Mayor
Pada tabel Ausransi Jiwa Syariah periode desember 2024 tidak muncul,Mayor
"1. Gambar Mandatory, saat dikosongkan redirect ke Halaman Error<br>2. Saat mau upload gambar dan klik cancel, muncul alert",Mayor
ada typo di subjudul tabel pada menu :<br>1. Risiko Kredit<br>2. Risiko reputasi<br>3. Risiko strategis<br>,Kosmetik
Tampilan belum sesuai dengan mockup data,Minor
Hasil export PDF terdapat halaman kosong di page 2 dan 3,Mayor
terdapat kolom kalimat <br>yang belum lengkap <br>SS terlampir<br>,Minor
Nama sandi belum sesuai dengan Mockup data,Minor
terdapat tabel total <br> belum sesuai dengan acuan <br><br>,Kosmetik
nama Laporan ada yang belum sesuai struktur data,Minor
Berhasil membuat 2 penyusunan agenda yang tersimpan pada Agenda &amp; Undangan hanya 1 agenda (g1),Mayor
"Setelah melakukan delete  pada Strategi Utama di Organisasi dan mengakses menu Sumber Daya Manusia, terdapat notifikasi ""berhasil melakukan delete""",Mayor
1. Pada Data Surat Berharga amount issued tidak sama (SS1)<br><br>2. Pada Penundaan Kewajiban belum ada data nya (SS2)<br><br>3. Hasil PDF dan Excel data Settlement tidak sesuai pada aplikasi (SS3),Mayor
terdapat beberapa kata yang tidak sesuai dengan tabel acuan<br><br>SS terlampir,Minor
"1. Kolom belum sesuai mockup, pada mockup tampil nya Keterangan tetapi pada web tampil OSIDA<br><br>2. Judul kolom Tidak berada di tengah kolom (center)",Kosmetik
"saat ini, pengujian untuk sync CAM belum dapat dilakukan",Mayor
Judul belum center/berada di tengah kolom,Minor
terdapat  pada  kolom ratevalue dan outstandingvalue data kosong <br><br><br>,Mayor
Tampilan belum sesuai dengan mockup,Kosmetik
Hasil Export PDf terdapat page kosong,Mayor
Di dokumen usreq terdapat item tanggal tetapi di aplikasi belum ada,Mayor
terdapat kolom tabel yang belum sesuai dengan acuan <br><br><br>,Kosmetik
pada Detail  dan Hapus ada inputan tanggal yang tidak disable dan dapat diketik,Mayor
"untuk Dash Pengumuman dan publikasi, nilai tetap 0 meskipun sudah diklik berkali kali<br>",Mayor
belum terdapat statistik apabila klik menu <em>ticketing </em>ï»¿,Mayor
"Apabila data tidak tersedia, sebaiknya tampilkan tulisan data tidak tersedia (saat ini kosong)",Kosmetik
Sistem / aplikasi tidak bisa langsung merespon Log Audit (loading cukup lama kurang lebih 30 menit),Mayor
"Untuk Perusahaan dan Individu:<br>1. Setelah selesai input, Auto download template surat tidak berfungsi (tidak ada template yang terdownload)<br>2. Ketika klik view menampilkan popup sandi PUJK &amp; No. Telepon tidak tersimpan(SS01)<br>3. Pada Pop Up View Button Edit Dipojok kanan atas ketika di klik hilang (SS02)<br>4. Halaman Detail tedapat button Edit di atas (SS03)<br>5. Sandi PUJK pada halaman detail tidak tampill",Mayor
statistik untuk Cek Status Pengaduan belum terekam. saat ini baru 3 yang lainnya tampil (apa harus sampai selesai isi lalu submit?),Mayor
"pada kolom &lt; 100 juta dan kolom 100-200, 200-500  juta terdapat nominal yang tidak sesuai dengan kolom  <br><br><br>",Mayor
header kolom belum rata tengah,Kosmetik
alignment judul kolom tidak rata tengah,Kosmetik
isi terpotong tapi tidak ada scroll,Mayor
ketika pilih tanggal update terakhir. muncul error timeout expired,Mayor
header kolom belum rata tengah,Kosmetik
header kolom belum rata tengah,Kosmetik
alignment judul kolom tidak rata tengah,Kosmetik
1. nama kolom belum rata tengah<br><br>2. isi Note Modul terpotong,Minor
Terdapat error pada Tab&gt;Histori Revisi Tanggapan (Terjadi Error. Silahkan hubungi Administrator),Mayor
"pada <em>PELAKSANAAN &amp; PELAPORAN HASIL RAPAT</em> data berhasil dibuat tetapi setelah berhasil disimpan langsung muncul <strong>Error</strong>, jadi tidak bisa membuat daftar penugasan.<br><br>Ketika mau edit/detail data tetap muncul erorr",Fatal
header kolom belum rata tengah,Kosmetik
Tidak sesuai dengan mockup,Minor
"Untuk Individu dan Perusahaan:<br>Alert Sukses data juga terupload, tetapi di setelah berhasil di redirect ke halaman error 500",Mayor
"saat klik search dengan user id dikosongkan, muncul popup error",Mayor
"tidak ada tanda mandatory pada field upload image, padahal ada validasi error wajib masukan gambar",Mayor
tidak bisa mengakses menu upload dan muncul halaman dengan kode 401,Mayor
pada Detail dan Hapus ada inputan tanggal yang tidak disable dan dapat diketik,Mayor
Get data Sipena tidak mengisi Nomor Surat Sanksi hanya mengisi tanggal surat sanksi dan deskripsi sanksi,Mayor
"saat tambah temuan lalu klik ubah, terdapat data tambahan dengan ID Modul terisi dengan Role dan Note Modul terisi Default Modul For R...",Mayor
"Kolom:<br>- Narasi Standar Jawaban<br>- Media Layanan<br>- Narasi Utama<br><br>Wajib Diisi (Asterix Merah)<br>namun, apabila tidak diisi masih lolos (berhasil Simpan)",Minor
"label belum sesuai, seharusnya ""Otoritas Jasa Keuangan | Investor Relations Unit""",Kosmetik
belum ada Tanggal Publikasi,Mayor
1. gambar tidak ke load<br><br>2. belum ada short description<br><br>3. gambar konten tidak ter-load,Mayor
Tidak dapat menampilkan data jika pencarian data menggunakan Tanggal ataupun Tanggal dan waktu,Minor
dropdown jenis laporan tidak lengkap/belum sesuai,Mayor
gambar konten tidak ter-load,Mayor
short description belum ada,Mayor
"Ketika semua form sudah di isi, kemudian klik button ""Selanjutnya"" (SS1), form kosong kembali seperti awal (SS2)<br><br>SS terlampir",Mayor
Penulisan cetak terdapat di dalam data,Mayor
"Saat melakukan export  PDF, muncul dua halaman kosong di bagian bawah  dan data baru terlihat lagi di halaman berikutnya<br><br><br>",Mayor
Penamaan antara aplikasi dengan mockup nya berbeda jenis bahasanya(SS1)<br><br>(SS terlampir),Kosmetik
"Pada popup view setelah selesai input/edit data dan penyimpanan data berhasil. Popup tidak  tertutup otomatis, menyebabkan pengguna harus melakukan refresh manual untuk melanjutkan (SS01)<br>",Minor
Penamaan antara aplikasi dengan mockup nya berbeda jenis bahasanya(SS1)<br><br>(SS terlampir),Minor
"1. Pada lampiran terdapat aksi ""delete "" (SS1)<br>2. Kolom pada excel tidak sesuai dengan contoh lampiran (SS2)<br><br><br>",Minor
Judul kolom belum lengkap,Kosmetik
Judul kolom belum rata tengah,Kosmetik
1. Keterangan di atas tabel belum tampil<br><br>2. Nama NBDU/FIN belum lengkap<br><br>3. Nama pengurus dan jabatan pengurus belum ada sedangkan nama pengawas dan jabatan pengawas tampil 2x<br><br>4.Regulatoryreportformatcode tidak ada pada acuan tetapi tampil di web,Mayor
Log eror saat pengetesan panjang maksimum pada Baris 18 tidak muncul keterangan rumus seperti pengetesan lainnya (terlampir),Minor
"Saat melakukan export  PDF, muncul dua halaman kosong di bagian bawah  dan data baru terlihat  lagi di halaman berikutnya.<br>",Mayor
Untuk Kirim Data Sanksi ke SIPO diperlukan User dengan peran untuk Validasi tetapi assign role/jobnya belum ada.,Mayor
Pada saat edit logo muncul tanda berhasil tapi tidak merubah ke logo yang baru,Mayor
"kondisi: telah sign 1 user di CAM untuk di OSW sebagai admin, tapi setelah 1 hari belum tampil di administrasi pengguna dan belum bisa login",Mayor
Pada  Komisaris dan Direksi tabel Awal dan akhir periode pada lampiran hanya tanggal saja (SS1),Kosmetik
"ketika menjalankan skenario upload web ""Upload Rutin pada Periode Koreksi  (belum lapor Rutin)"" harusnya terlambat , tetapi hasil nya Lapor pada monitoring absensi",Mayor
"Pada tombol ""+"" hanya ada tombol dalete tidak ada tombol ""Edit""",Minor
"1. Pada Filter saat memfilter dengan jenis aktivitas ""edit"" namun hasil yang ditampilkan view, jika data kosong seharusnya tidak perlu ada data yang ditampilkan (kosong) --SS1<br><br>2. Tidak menampilkan data secara spesifik berapa jumlah aktivitas yang ditampilkan --SS2<br><br>3. Bisa menambahkan kolom nomor pada tabel --SS2",Mayor
hasil tambahan submenu ketika di klik tidak ada respon atau tidak berpindah page.,Mayor
tidak ada validasi error ketika no urut yang dipilih sama,Mayor
1. Penyesuaian Filter dengan Mockup (SS01)<br>2. Filter Jenis Kelamin error 500 (SS02)<br>3. Pada Form Tambah ketika baru memilih NIK dropdown dibawah menampilkan validasi harus di isi (SS03)<br>4. Setelah tambah data redirect ke halaman error 500 (SS04)<br>5. Pada Halaman Detail Belum sesuai Mockup (SS05),Mayor
terdapat 2 field konten yang sama persis/redundan <br>,Minor
button simpan belum berfungsi,Mayor
"pesan error yang muncul pada saat klik unpublish kurang user friendly dengan tampilan layar seluruhnya hitam berpotensi tidak user friendly, apakah bisa dibuat seperti popup error atau semacamnya?",Minor
"ketika berada di tab ke 2 dan sudah melakukan validasi kemudian klik setuju, halaman akan langsung redirect ke halaman utama/awal seperti baru berhasil login",Mayor
1. Ketika field deskripsi dan description diisi dengan bold/italic data tidak tersimpan<br>2. ketika ubah data field deskripsi dan description bisa kosong,Mayor
1. Penyesuaian Filter dengan Mockup (SS01)<br>2. Setelah tambah data redirect ke halaman error 500 (SS02)<br>3. Pada Halaman Detail belum sesuai Mockup (SS03),Mayor
pada T.1.1 terdapat judul pada IPO1 - IPO 5 (SS1-SS2),Kosmetik
Pop up mandatory tidak sesuai seharusnya periode awal dan periode akhir  (SS1),Kosmetik
Pada kolom profil security name belum center seperti yang lain  (SS1),Kosmetik
"- Tidak ada notifikasi berhasil tambah, edit, delete<br>- Mandatory bisa dikosongkan<br><br>",Mayor
"- Tidak ada notifikasi berhasil tambah, edit, delete<br>- Mandatory bisa dikosongkan<br>",Mayor
Hanya ada satu peran yang tersedia,Minor
Pada bagian No Dokumen pada saat di isi berhasil tersimpan tapi tidak muncul datanya,Mayor
1. Belum ada tanda mandatory (*) untuk periode dan sampai.<br><br>2. Pada saat pencarian berdasarkan kolom terdapat error (SS2)<br><br>3. Pada download excel dan PDF belum terdapat judul (SS3)<br>,Mayor
"- Tidak ada mandatory, jadi form bisa full kosong, mohon disable tombol simpannya<br><br>1. Pihak Penyedia IT<br>2. Data Center<br>3. DRC<br>4. DRP<br><br>- Tidak ada notifikasi berhasil tambah data, edit atau hapus",Mayor
1. Judul header belum rata tengah<br>2. Mohon diganti text color jadi hitam pada judul header,Kosmetik
"tidak bisa login menggunakan pujktester1-5, sebelumnya bisa",Mayor
"Tercatat Notifikasi Email, seharusnya Notifikasi Template",Minor
"Setelah berhasil masuk pada halaman detail data dan klik aksi ""Kembali"" maka akan pindak ke halaman Dokumen",Minor
1. Judul header belum rata tengah<br>2. Mohon diganti text color jadi hitam pada judul header,Kosmetik
client tidak bisa mengirim data untuk RAKB2A menggunakan laporan KPBLN,Mayor
Tidak sesuai dengan mockup,Mayor
Mohon diberikan validasi agar urutan menu tidak bisa diisi dengan angka yang sama dengan menu lain,Mayor
"sudah tambah data KYE, dan ingin di review, namun tidak bisa klik tombol review",Mayor
"Pada T.1.1 Field â€œPeneliti Eksternalâ€ dapat diedit oleh SPR , pada aplikasi hanya ada aksi delete tidak ada edit (SS1)",Minor
Belum terdapat Field â€œInstitusi Peneliti Eksternalâ€ (SS1),Mayor
Tombol lihat dan ubah di kanan atas menampilkan halaman error,Mayor
File upload dan kapasitas belum sesuai dengan T.1.1 (SS1),Minor
"pada detail perencanaan pengawasan, tulisannya masih bahasa inggris ""Supervisory Plan""",Kosmetik
Pada pilih klasifikasi teks seperti transparant,Minor
"tidak bisa upload pdf, jpg dan png. ada keterangan ""upload failed"" tapi keterangan kurang menjelasakan alasan dokumen failed upload",Mayor
"pada fitur export, belum ada export pdf",Mayor
"Ketika berhasil menambahkan data, harus refresh halaman baru datanya muncul",Mayor
"tidak bisa isi tanggapan penerusan pada pujktester2, masih disable",Mayor
Pada saat edit data berhasil melakukan edit data dan setelah di cek kembali data baru tidak muncul,Mayor
"1. Pada tabel RBC, RKI, dan Ekuitas 1 Tahun Terakhir, kolom Equity diubah ke ekuitas (Rp Juta)<br><br>2. pada grafik Aset dan Investasi data yang tampil pada hover didalam chart belum sesuai<br><br>3. informasi horizontal pada chart jika memang itu menunjukan periode, bisa ditambahkan simbol (-) untuk pemisah antara tahun dan bulan, seperti chart Trend Perbandingan Rasio Klaim, Rasio Badan Usaha dan Combine<br><br>4. judul dengan kata <b>trend </b>diganti ke <b>tren </b>sesuai dengan acuan<br><br>5. penyesuaian nama/judul chart<br><br>6. keterangan yang tampil, jika menunjukan angka/nominal tolong disesuaikan untuk penggunaan titik/koma sebagai pemisah angkanya<br><br>7. pada chart line, ketika pada zoom 100% diakhir chart tampilannya terpotong, tetapi ketika di zoom out 30% tidak terpotong<br><br>8. nama PT belum tampil",Mayor
"pada saat ingin unggah dokumen terdapat note ""Dokumen Proposal Riset (Format: doc/docx/pdf), max 10 MB"" namun saat di klik unggah pada pop up terdapat note ""Ukuran file maksimum : 20MB Ekstensi yang di-izinkan : pdf""<br>",Mayor
pada Usulan RPT &amp; Jenis RPT -&gt; isi text tidak ada spasi,Kosmetik
"pada pop up terdapat tulisan ""previu"" untuk melihat hasil unggahan yang seharusnya preview<br>",Kosmetik
aktivitas masuk/login aplikasi belum tercatat,Mayor
belum ada fasilitas untuk reset password mandiri oleh user<br>,Mayor
Tombol aksi terlalu dekat dengan border,Minor
belum ada Peringatan untuk tidak dapat menggunakan 3 (tiga) password terakhir yang sebelumnya pernah dipakai oleh Pengguna,Mayor
"Penamaan Label masih belum sesuai dengan T.1.1 dan MOM, mohon untuk disesuaikan",Minor
Tampilan Tabel bisa disempurnakan dan dibuat rata kiri.<br>- SS1 kerja sama internal<br>- SS2 kerja sama eksternal<br>- SS3 Data Primer<br>- SS4 Data Sekunder<br>- SS5 Penelitian internal dan eksternal<br><br>karena data yang dapat ditampilkan bisa lebih dari 2 bisa ditambahkan kolom nomor pada setiap tabel<br>,Minor
terdapat beberapa kata yang tidak sesuai dengan tabel acuan,Kosmetik
Tampilan pada web belum sesuai dengan mockup,Minor
pada seluruh menu tata kelola saat dilakukan edit data tidak dapat tersimpan,Fatal
"Penamaan Label masih belum sesuai dengan T.1.1 dan MOM, mohon untuk disesuaikan",Minor
"tidak ada tombol ""upload gambar""",Mayor
belum terdapat tanda separator atau pemisah angka (SS1),Kosmetik
"tidak ada tombol ""upload gambar""",Mayor
1. terdapat typo pada nama kursor grafik (tertulis volune) dan belum ada separator ribuan (SS1)<br><br>2. Pada kolom prev date terdapat tanggal dengan belakang .0 (SS2),Minor
ketika kolom pertanyaan dan question dikosongkan lalu klik simpan muncul pop up error,Mayor
Tidak mandatory tetapi ada validasi,Minor
Terdapat error pada halaman Upload Laporan Hasil riset (SS1),Fatal
"Pada T.1.1 terdapat Institusi Peneliti Eksternal , sedangkan di aplikasi belum ada (SS1)",Mayor
Tulisan terpotong tidak ada scroll,Mayor
Tidak ada Nomor pada List Data,Kosmetik
"Form skk tersebut berdasarkan konfirmasi terbaru, isi field2nya seharusnya sama seperti yg kantor wilayah mas, shg seharusnya ada field jenis kantor dan nama kantor induk (SS01)",Mayor
USER ID tidak ditemukan,Mayor
1. Belum tercatat aktivitas berhasil Login (SS1)<br>,Mayor
"Saat sinkronisasi data, masih tidak ada bedanya dengan saat sebelum disinkron",Mayor
Tidak sama dengan mockup,Minor
1. Muncul kesalahan saat validasi<br><br>2. Kolom 38 nilai totalnya salah namun tidak muncul pesan,Mayor
1. Pesan kesalahan saat kolom 3 kosong atau terisi belum sesuai,Minor
1. Panjang kolom 2 tidak sama antara struktur data dan pesan validasi<br><br>2. Baris 2-5 diisi 6 digit belum muncul pesan kesalahan<br><br>3. Baris 6-7 diisi lebih dari 16 digit belum muncul pesan kesalahan<br><br>4. Baris 8-18 diisi lebih dari 500 muncul pesan kesalahan panjang maksimal 250<br><br>5. Karakter yang diperbolehkan pada baris 2-7 beda antara struktur data dan pesan validasi<br><br>Untuk dicek kembali seluruh form LAKBA,Mayor
"untuk RAKB2A (KPBLN) tidak ada email lainnya, hanya menerima email LJK saja (baik email yang diterima oleh pengawas maupun LJK apolo.sit012)",Mayor
"Pada Tab Pelaksanaan &amp; Pelaporan Hasil Rapat, saat megisi Daftar Penugasan (Penugasan 1) mengisi Status Progress dengan On Progress kemudian Klik Simpan, menampilkan form Tambah Penugasan dan menampilkan Status Progress yang sebelumnya diisi On Progress menjadi Pending",Mayor
"Penamaan Label masih belum sesuai dengan T.1.1 <br>1.Pada web ""Satker/Uker Pemrakarsa"" pada t.1.1<br>Satuan Kerja Pemrakasa, label typo dan belum sesuai<br><br>2.pada Satuan Kerja terkait di t.1.1 ""Kerja"" menggunakan kapital<br><br>3.pada Cakupan Risiko &amp; Ruang Lingkup Pengawasan tidak terdapat ""Usulan"" pada t.1.1<br><br>4.Pada web filter data ""Periode Pelaksanaan Pengawasan"", pada t.1.1 ""Waktu Pelaksanaan Pengawasan""<br><br>5.pada t.1.1 terdapat ""<b>terkait"" </b>pada web hanya ""Informasi Hasil Pengawasan"",<br>mohon untuk disesuaikan",Minor
"Penamaan Label masih belum sesuai dengan T.1.1<br>1.Pada web ""Satker/Uker Pemrakarsa"" pada t.1.1<br>Satuan Kerja Pemrakasa, label typo dan belum sesuai<br><br>2.pada Satuan Kerja terkait di t.1.1 ""Kerja"" menggunakan kapital<br><br>3.pada Cakupan Risiko &amp; Ruang Lingkup Pengawasan tidak terdapat ""Usulan"" pada t.1.1<br><br>4.Pada web filter data ""Periode Pelaksanaan Pengawasan"", pada t.1.1 ""Waktu Pelaksanaan Pengawasan""<br><br>5.pada t.1.1 terdapat ""<b>terkait"" </b>pada web hanya ""Informasi Hasil Pengawasan"",<br>mohon untuk disesuaikan",Minor
"Penamaan Label masih belum sesuai dengan T.1.1<br>1.Pada web ""Satker/Uker Pemrakarsa"" pada t.1.1<br>Satuan Kerja Pemrakasa, label typo dan belum sesuai<br><br>2.pada Satuan Kerja terkait di t.1.1 ""Kerja"" menggunakan kapital<br><br>3.pada Cakupan Risiko &amp; Ruang Lingkup Pengawasan tidak terdapat ""Usulan"" pada t.1.1<br><br>4.Pada web filter data ""Periode Pelaksanaan Pengawasan"", pada t.1.1 ""Waktu Pelaksanaan Pengawasan""<br><br>5.pada t.1.1 terdapat ""<b>terkait"" </b>pada web hanya ""Informasi Hasil Pengawasan"",<br>mohon untuk disesuaikan",Minor
Sesuai konfirmasi di WAG pada menu laporan perlu ditambahkan jenis laporan sebagai filter mandatori. atau tambahkan item default di pilihan jenis laporan sehingga halaman di load sudah terisi.<br>,Mayor
Kalimat pada judul kolom belum sesuai mockup,Kosmetik
Tidak dapat upload dokumen yang dipilih (SS1),Minor
Menu RDKB tidak muncul pada aplikasi,Mayor
1. Dokumen Proposal belum terdapat tanda mandatory (*) (SS1)<br><br>2. Data Primer belum  terdapat tanda mandatory (*) dan keterangan pop up nya seharusnya data primer bukan sekunder (SS2)<br><br>3.  Data Sekunder belum  terdapat tanda mandatory (*) dan keterangan pop up nya seharusnya data Sekunder bukan primer (SS3),Kosmetik
Tidak terdapat dicetak oleh pada hasil download excel,Kosmetik
Dicetak oleh pada hasil export excel belum sesuai,Kosmetik
Tidak terdapat dicetak oleh pada hasil download excel,Kosmetik
Tidak terdapat dicetak oleh pada hasil download excel,Kosmetik
Terdapat spasi pada hasil Export excel,Kosmetik
Tidak terdapat dicetak oleh pada hasil download excel,Kosmetik
"1. versi upload pada koreksi gagal pertama menjadi ""0""<br><br>2. versi upload pada monitorig muncul 1 sedangkan yang tertinggi adalah versi 2",Mayor
"1. Pada input laporan dan data belum terisi semua, data berhasil disimpan (SS1)<br>2. Lihat detail data yang sudah tersimpan error (SS2)",Mayor
tidak dapat unggah LHR ( SS1),Minor
Tidak terdapat dicetak oleh pada hasil download excel,Kosmetik
Tidak terdapat dicetak oleh pada hasil download excel,Kosmetik
belum ada log Unauthorized access message,Mayor
"Pada saat edit data ""berhasil"" tetapi data tidak berubah",Minor
"Untuk excel dan pdf, belum ada keterangan dokumennya/nama dokumennya",Minor
"Mohon value pada row Kredit Pembiayaan dibuat responsive, agar value tsb tidak tumpang tindih. (SS)",Kosmetik
"Tambah Data dengan Simpan Draft/Simpan&amp;Kirim, mengisi tanggal Publikasi tanggal hari ini (20/10/2025), berhasil tersimpan dengan tanggal publikasi berubah menjadi tanggal 19/10/2025",Mayor
filter doesn't contain di kolom catatan belum sesuai,Mayor
"1. Pada upload data primer , ukuran dan jenis upload belum sesuai (SS1)<br><br>2. Belum ada tanda mandatory pada checklist pengumpulan data selesai (SS2)",Minor
Warna value harap tidak dibuat menyerupai warna background (sulit dibaca). (SS),Kosmetik
Aksi 'Gagal Login' belum tercatat. (SS),Mayor
Belum ada aksi freeze account ketika gagal login beberapa kali. (SS)<br><br>Optional,Mayor
Pop Up Berhasil tambah data untuk durasinya terlalu cepat,Minor
Belum ada pagination,Minor
Jenis Kantor Sentra Keuangan Khusus tidak sesuai dengan data yang berada di Menu Jaringan Kantor. (Data yang sudah di hapus masih tampil),Mayor
judul kolom tidak rata tengah,Kosmetik
"judul kolom tidak rata tengah, mohon untuk setiap judul kolom dibuat rata tengah",Kosmetik
"judul kolom tidak rata tengah, mohon untuk setiap judul kolom dibuat rata tengah",Kosmetik
Error (Menggunakan LPIP Kredit Biro Deli,Mayor
1. Untuk kolom jenis kelamin pada data konsumen saat klik lanjut tanpa mengisi tidak muncul tanda seperti yang lain (mandatory) (ss)<br><br>2. pada data Wakil/Kuasa Konsumen untuk kolom nomor identitas wakil/kuasa saat klik lanjut tanpa mengisi tidak muncul tanda seperti yang lain (mandatory) (ss1),Minor
"Pada kolom Solusi/Penyelesaian Permasalahan Yang Diharapkan, Lokasi Kejadian dan Nominal Kerugian (Rupiah) saat klik lanjut tanpa mengisi tidak muncul tanda seperti yang lain (mandatory) (ss)",Kosmetik
"Tambah data dan berhasil simpan, namun pada tabel manajemen Pengumuman masih bisa Ubah data seperti apabila Tambah data dan simpan draft",Mayor
Pada saat simpan pengumpulan data terdapat error (SS1),Fatal
pada capthca masih bisa menggunakan huruf,Minor
"judul kolom tidak rata tengah, mohon untuk setiap judul kolom dibuat rata tengah",Kosmetik
"tidak bisa simpan form pilih sektor, cek ss1 dan ss2",Mayor
"Saat mandatory dikosongkan lalu pilih simpan, sebaiknya muncul pop up untuk mengecek kembali field yang harus diisi, saat ini hanya ada tanda seru di field tersebut sehingga krg informatif",Minor
Terdapat pop up Gagal memuat data (SS1),Mayor
"pada field upload file belum ada catatan ketentuan file upload yang didukung, maksimal ukuran file, dan ketentuan ukuran gambar.",Minor
tidak bisa login menggunakan akun mpks.tester5 (pengawas),Fatal
1. Input/Edit Tanggal Surat Keputusan Penutupan masih bisa lebih dari Tanggal Efektif Pelaksanaan Penutupan.<br>2. Tanggal Efektif Pelaksanaan Penutupan sudah terisi tetapi status masih masih aktif (SS02),Mayor
"untuk tab dapen terdampak, button export pdf dan excel belum memuat aksi",Mayor
